 

stn;time;rre150h0
EVO;2022090100;0.0
EVO;2022090101;0.0
EVO;2022090102;0.0
EVO;2022090103;0.0
EVO;2022090104;0.0
EVO;2022090105;0.0
EVO;2022090106;0.0
EVO;2022090107;0.0
EVO;2022090108;0.0
EVO;2022090109;0.0
EVO;2022090110;0.0
EVO;2022090111;0.0
EVO;2022090112;0.0
EVO;2022090113;0.0
EVO;2022090114;0.0
EVO;2022090115;0.0
EVO;2022090116;0.0
EVO;2022090117;0.0
EVO;2022090118;0.0
EVO;2022090119;0.0
EVO;2022090120;0.0
EVO;2022090121;0.0
EVO;2022090122;0.0
EVO;2022090123;0.0
EVO;2022090200;0.0
EVO;2022090201;0.0
EVO;2022090202;0.0
EVO;2022090203;0.0
EVO;2022090204;0.0
EVO;2022090205;0.0
EVO;2022090206;0.0
EVO;2022090207;0.0
EVO;2022090208;0.0
EVO;2022090209;0.0
EVO;2022090210;0.0
EVO;2022090211;0.0
EVO;2022090212;0.0
EVO;2022090213;0.0
EVO;2022090214;0.0
EVO;2022090215;0.0
EVO;2022090216;0.4
EVO;2022090217;0.0
EVO;2022090218;0.0
EVO;2022090219;0.0
EVO;2022090220;0.0
EVO;2022090221;0.0
EVO;2022090222;0.0
EVO;2022090223;0.4
EVO;2022090300;0.0
EVO;2022090301;0.0
EVO;2022090302;0.0
EVO;2022090303;0.0
EVO;2022090304;0.0
EVO;2022090305;0.0
EVO;2022090306;0.0
EVO;2022090307;0.0
EVO;2022090308;0.0
EVO;2022090309;0.0
EVO;2022090310;0.0
EVO;2022090311;0.0
EVO;2022090312;0.0
EVO;2022090313;0.0
EVO;2022090314;0.0
EVO;2022090315;0.0
EVO;2022090316;0.0
EVO;2022090317;0.0
EVO;2022090318;0.0
EVO;2022090319;0.0
EVO;2022090320;2.6
EVO;2022090321;0.2
EVO;2022090322;0.0
EVO;2022090323;0.0
EVO;2022090400;0.0
EVO;2022090401;0.0
EVO;2022090402;0.0
EVO;2022090403;0.0
EVO;2022090404;0.0
EVO;2022090405;0.0
EVO;2022090406;0.0
EVO;2022090407;0.0
EVO;2022090408;0.0
EVO;2022090409;0.0
